,Landing Page,Date,Source,Country,Device,Users,New Users,Sessions,Bounce Rate,Pages/Session,Avg. Session Duration,Total Events,type,keyword
76,/discos-smart-bogo-cart-upsell?fbclid=IwAR3p0h1do3ZHd68IJ_-sVYYwBNGr4m-zQRKpxwR6_Ej2g-l2DfZhA1K6oDk,2022-05-07,m.facebook.com,United States,mobile,1,1,1,100.0,1.0,0.0,0,Others,Others
77,/discos-smart-bogo-cart-upsell?fbclid=IwAR3vO2vz-5pBr0_Dt7-C5uS2FKGOvqVef2s9QTlDsuLx78iXWIoKl_JpPAw,2022-05-16,l.facebook.com,Vietnam,desktop,1,0,2,50.0,1.5,1e-08,0,Others,Others
78,/discos-smart-bogo-cart-upsell?locale=de,2022-05-11,admin,Germany,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
79,/discos-smart-bogo-cart-upsell?locale=de&surface_detail=all&surface_inter_position=3&surface_intra_position=21&surface_type=category,2022-05-10,(direct),Germany,mobile,1,1,1,100.0,1.0,0.0,0,category,Others
80,/discos-smart-bogo-cart-upsell?locale=de&surface_detail=bogo&surface_inter_position=1&surface_intra_position=21&surface_type=search,2022-05-11,(direct),Germany,desktop,1,1,1,100.0,1.0,0.0,0,search,bogo
81,/discos-smart-bogo-cart-upsell?locale=de&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=8&surface_type=search,2022-05-15,facebook.com,Austria,desktop,1,0,1,0.0,1.0,2.2000000000000002e-08,1,search,buy x get y
82,/discos-smart-bogo-cart-upsell?locale=de&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=8&surface_type=search,2022-05-17,(direct),Germany,desktop,1,1,1,0.0,2.0,1.0600000000000001e-07,1,search,buy x get y
83,/discos-smart-bogo-cart-upsell?locale=de&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=8&surface_type=search,2022-05-26,(direct),Germany,desktop,1,1,1,0.0,1.0,1e-09,1,search,buy x get y
84,/discos-smart-bogo-cart-upsell?locale=de&surface_detail=cart+upsell&surface_inter_position=1&surface_intra_position=18&surface_type=search,2022-05-31,(direct),Germany,desktop,1,1,1,100.0,1.0,0.0,0,search,cart upsell
85,/discos-smart-bogo-cart-upsell?locale=de&surface_detail=conversion-upselling-and-cross-selling&surface_inter_position=9&surface_intra_position=2&surface_type=home,2022-05-16,(direct),Germany,desktop,1,1,1,0.0,1.0,2.16e-07,1,home,Others
86,/discos-smart-bogo-cart-upsell?locale=de&surface_detail=recommended-for-you&surface_inter_position=2&surface_intra_position=1&surface_type=home,2022-05-08,admin,Germany,mobile,1,0,1,100.0,1.0,0.0,0,home,Others
87,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=all&surface_inter_position=3&surface_intra_position=12&surface_type=category,2022-05-09,google,Chile,desktop,1,0,1,100.0,1.0,0.0,0,category,Others
88,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=bogo&surface_inter_position=1&surface_intra_position=17&surface_type=search,2022-05-13,(direct),Mexico,desktop,1,1,1,100.0,1.0,0.0,0,search,bogo
89,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=bogo&surface_inter_position=1&surface_intra_position=18&surface_type=search,2022-05-26,(direct),Spain,desktop,1,1,1,100.0,1.0,0.0,0,search,bogo
90,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=BOGO+buy+x+get+y&surface_inter_position=1&surface_intra_position=18&surface_type=search,2022-05-27,(direct),Spain,desktop,1,1,1,100.0,1.0,0.0,0,search,BOGO buy x get y
91,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=8&surface_type=search,2022-05-13,(direct),Chile,desktop,1,1,1,100.0,1.0,0.0,0,search,buy x get y
92,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=conversion-upselling-and-cross-selling&surface_inter_position=1&surface_intra_position=6&surface_type=subcategory,2022-05-12,(direct),Colombia,desktop,1,1,1,0.0,1.0,2.44e-07,1,subcategory,Others
93,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=disco&surface_inter_position=1&surface_intra_position=6&surface_type=search,2022-05-18,(direct),Chile,desktop,1,1,1,0.0,1.0,1.3900000000000001e-07,1,search,disco
94,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=galeria+logos&surface_inter_position=2&surface_intra_position=13&surface_type=search,2022-06-01,(direct),Colombia,desktop,1,1,1,100.0,1.0,0.0,0,search,galeria logos
95,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=gift+on+cart&surface_inter_position=7&surface_intra_position=23&surface_type=search,2022-05-25,(direct),Spain,desktop,1,1,1,100.0,1.0,0.0,0,search,gift on cart
96,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=Gira+y+gana&surface_inter_position=1&surface_intra_position=17&surface_type=search,2022-05-08,(direct),Peru,mobile,1,1,1,100.0,1.0,0.0,0,search,Gira y gana
97,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=recommended-for-you&surface_inter_position=1&surface_intra_position=1&surface_type=collection,2022-05-06,(direct),Colombia,desktop,1,1,1,100.0,1.0,0.0,0,collection,Others
98,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=recommended-for-you&surface_inter_position=1&surface_intra_position=1&surface_type=collection,2022-05-11,(direct),Mexico,desktop,1,1,1,100.0,1.0,0.0,0,collection,Others
99,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=recommended-for-you&surface_inter_position=1&surface_intra_position=12&surface_type=collection,2022-05-10,l.facebook.com,Colombia,desktop,1,0,1,0.0,2.0,5.490000000000001e-07,0,collection,Others
100,/discos-smart-bogo-cart-upsell?locale=es&surface_detail=recommended-for-you&surface_inter_position=2&surface_intra_position=1&surface_type=home,2022-05-11,(direct),Spain,desktop,1,1,1,100.0,1.0,0.0,0,home,Others
101,/discos-smart-bogo-cart-upsell?locale=fi&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=8&surface_type=search,2022-05-11,google,Finland,desktop,1,0,1,0.0,2.0,7.340000000000001e-07,0,search,buy x get y
102,/discos-smart-bogo-cart-upsell?locale=fr,2022-05-06,(direct),Vietnam,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
103,/discos-smart-bogo-cart-upsell?locale=fr,2022-05-06,landing page,Vietnam,desktop,1,1,1,0.0,1.0,2e-09,1,Others,Others
104,/discos-smart-bogo-cart-upsell?locale=fr,2022-05-10,google,France,tablet,1,1,1,0.0,3.0,2.89e-07,0,Others,Others
105,/discos-smart-bogo-cart-upsell?locale=fr,2022-05-13,admin,Martinique,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
106,/discos-smart-bogo-cart-upsell?locale=fr,2022-05-27,(direct),Vietnam,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
107,/discos-smart-bogo-cart-upsell?locale=fr&surface_detail=BOGO+cart&surface_inter_position=1&surface_intra_position=4&surface_type=search,2022-05-12,admin,Canada,desktop,1,0,1,100.0,1.0,0.0,0,search,BOGO cart
108,/discos-smart-bogo-cart-upsell?locale=fr&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=15&surface_type=search,2022-05-05,landing page,France,desktop,1,0,1,0.0,1.0,1.8000000000000002e-08,1,search,buy x get y
109,/discos-smart-bogo-cart-upsell?locale=fr&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=7&surface_type=search,2022-05-17,admin,France,desktop,1,0,1,0.0,3.0,2.5360000000000004e-06,1,search,buy x get y
110,/discos-smart-bogo-cart-upsell?locale=fr&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=8&surface_type=search,2022-05-28,(direct),Morocco,desktop,1,1,2,100.0,1.0,0.0,0,search,buy x get y
111,/discos-smart-bogo-cart-upsell?locale=fr&surface_detail=conversion&surface_inter_position=1&surface_intra_position=2&surface_type=category,2022-05-10,(direct),Israel,desktop,1,1,1,100.0,1.0,0.0,0,category,Others
112,/discos-smart-bogo-cart-upsell?locale=fr&surface_detail=menu+upsell&surface_inter_position=4&surface_intra_position=12&surface_type=search,2022-05-14,facebook.com,France,desktop,1,0,1,100.0,1.0,0.0,0,search,menu upsell
113,/discos-smart-bogo-cart-upsell?locale=fr&surface_detail=one+click+upsell&surface_inter_position=1&surface_intra_position=16&surface_type=search,2022-05-26,website,United Arab Emirates,desktop,1,0,1,100.0,1.0,0.0,0,search,one click upsell
114,/discos-smart-bogo-cart-upsell?locale=fr&surface_detail=tiered+discount&surface_inter_position=2&surface_intra_position=7&surface_type=search,2022-05-27,(direct),France,desktop,1,1,1,100.0,1.0,0.0,0,search,tiered discount
115,/discos-smart-bogo-cart-upsell?locale=fr&surface_detail=upsell+cart+drawer&surface_inter_position=3&surface_intra_position=18&surface_type=search,2022-05-26,(direct),France,desktop,1,1,1,100.0,1.0,0.0,0,search,upsell cart drawer
116,/discos-smart-bogo-cart-upsell?locale=it,2022-05-12,admin,Italy,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
117,/discos-smart-bogo-cart-upsell?locale=it&surface_detail=bogo&surface_inter_position=2&surface_intra_position=6&surface_type=search,2022-05-09,(direct),Italy,desktop,1,1,1,100.0,1.0,0.0,0,search,bogo
118,/discos-smart-bogo-cart-upsell?locale=it&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=8&surface_type=search,2022-05-25,(direct),Italy,desktop,1,1,1,0.0,1.0,1e-09,1,search,buy x get y
119,/discos-smart-bogo-cart-upsell?locale=it&surface_detail=disco&surface_inter_position=1&surface_intra_position=6&surface_type=search,2022-05-08,(direct),Italy,desktop,1,1,1,100.0,1.0,0.0,0,search,disco
120,/discos-smart-bogo-cart-upsell?locale=it&surface_detail=recommended-for-you&surface_inter_position=2&surface_intra_position=1&surface_type=home,2022-05-05,landing page,Italy,desktop,1,0,1,100.0,1.0,0.0,0,home,Others
121,/discos-smart-bogo-cart-upsell?locale=ja,2022-05-06,landing page,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
122,/discos-smart-bogo-cart-upsell?locale=ja,2022-05-07,admin,Japan,desktop,1,1,3,66.66666666666666,1.6666666666666667,5.15e-07,0,Others,Others
123,/discos-smart-bogo-cart-upsell?locale=ja&surface_detail=customer+discount&surface_inter_position=1&surface_intra_position=16&surface_type=search,2022-05-12,admin,Japan,desktop,1,0,1,100.0,1.0,0.0,0,search,customer discount
124,/discos-smart-bogo-cart-upsell?locale=nl,2022-05-11,admin,Netherlands,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
125,/discos-smart-bogo-cart-upsell?locale=nl&surface_detail=BOGO&surface_inter_position=1&surface_intra_position=16&surface_type=search,2022-05-31,(direct),Netherlands,desktop,1,1,1,0.0,1.0,2.4000000000000003e-08,1,search,BOGO
126,/discos-smart-bogo-cart-upsell?locale=nl&surface_detail=cart+upsell&surface_inter_position=1&surface_intra_position=19&surface_type=search,2022-05-12,(direct),United States,desktop,1,1,1,100.0,1.0,0.0,0,search,cart upsell
127,/discos-smart-bogo-cart-upsell?locale=nl&surface_detail=conversion-upselling-and-cross-selling&surface_inter_position=1&surface_intra_position=2&surface_type=category,2022-05-16,(direct),Netherlands,desktop,1,1,1,100.0,1.0,0.0,0,category,Others
128,/discos-smart-bogo-cart-upsell?locale=nl&surface_detail=conversion-upselling-and-cross-selling&surface_inter_position=1&surface_intra_position=2&surface_type=subcategory,2022-05-18,admin,Netherlands,desktop,1,0,1,100.0,1.0,0.0,0,subcategory,Others
129,/discos-smart-bogo-cart-upsell?locale=nl&surface_detail=Promo&surface_inter_position=3&surface_intra_position=7&surface_type=search,2022-05-26,(direct),Netherlands,desktop,1,1,1,100.0,1.0,0.0,0,search,Promo
130,/discos-smart-bogo-cart-upsell?locale=pt-BR&surface_detail=12x&surface_inter_position=1&surface_intra_position=4&surface_type=search,2022-05-16,(direct),Brazil,desktop,1,1,1,100.0,1.0,0.0,0,search,12x
131,/discos-smart-bogo-cart-upsell?locale=pt-BR&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=8&surface_type=search,2022-05-27,(direct),Brazil,desktop,1,1,1,0.0,1.0,2.9e-08,1,search,buy x get y
132,/discos-smart-bogo-cart-upsell?locale=pt-BR&surface_detail=cart+upsell&surface_inter_position=1&surface_intra_position=18&surface_type=search,2022-05-30,(direct),Brazil,desktop,1,1,1,100.0,1.0,0.0,0,search,cart upsell
133,/discos-smart-bogo-cart-upsell?locale=pt-BR&surface_detail=cart+upsell&surface_inter_position=2&surface_intra_position=18&surface_type=search,2022-05-06,landing page,Brazil,desktop,1,0,2,0.0,1.0,2.4000000000000003e-07,2,search,cart upsell
134,/discos-smart-bogo-cart-upsell?locale=tr,2022-05-15,admin,Turkey,desktop,1,0,1,0.0,2.0,2.2000000000000002e-08,0,Others,Others
135,/discos-smart-bogo-cart-upsell?locale=tr,2022-05-27,google,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
136,/discos-smart-bogo-cart-upsell?locale=tr&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=10&surface_type=search,2022-05-11,(direct),Turkey,desktop,1,1,1,0.0,2.0,7.7e-08,1,search,buy x get y
137,/discos-smart-bogo-cart-upsell?locale=tr&surface_detail=conversion&surface_inter_position=2&surface_intra_position=17&surface_type=category,2022-05-26,website,Turkey,desktop,1,0,1,100.0,1.0,0.0,0,category,Others
138,/discos-smart-bogo-cart-upsell?locale=tr&surface_detail=conversion&surface_inter_position=2&surface_intra_position=17&surface_type=category,2022-05-30,website,Turkey,desktop,1,0,1,100.0,1.0,0.0,0,category,Others
139,/discos-smart-bogo-cart-upsell?locale=zh-CN,2022-05-13,admin,Taiwan,desktop,1,0,1,0.0,1.0,5.2e-08,1,Others,Others
140,/discos-smart-bogo-cart-upsell?locale=zh-CN,2022-05-13,admin,United States,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
141,/discos-smart-bogo-cart-upsell?locale=zh-CN,2022-05-16,(direct),Hong Kong,mobile,1,1,1,100.0,1.0,0.0,0,Others,Others
142,/discos-smart-bogo-cart-upsell?locale=zh-CN&surface_detail=bogo+bundle&surface_inter_position=2&surface_intra_position=8&surface_type=search,2022-05-28,website,Hong Kong,mobile,1,0,1,0.0,2.0,2.1e-07,0,search,bogo bundle
143,/discos-smart-bogo-cart-upsell?locale=zh-CN&surface_detail=bogo+onpage&surface_inter_position=1&surface_intra_position=13&surface_type=search,2022-05-28,(direct),Hong Kong,desktop,1,1,1,100.0,1.0,0.0,0,search,bogo onpage
144,/discos-smart-bogo-cart-upsell?locale=zh-CN&surface_detail=cart upsell&surface_inter_position=1&surface_intra_position=15&surface_type=search,2022-05-25,(direct),China,desktop,1,1,2,100.0,1.0,0.0,0,search,cart upsell
145,/discos-smart-bogo-cart-upsell?locale=zh-CN&surface_detail=conversion&surface_inter_position=1&surface_intra_position=31&surface_type=collection,2022-05-18,(direct),China,desktop,1,1,1,100.0,1.0,0.0,0,collection,Others
146,/discos-smart-bogo-cart-upsell?locale=zh-TW&surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=10&surface_type=search,2022-05-10,l.facebook.com,Taiwan,desktop,1,0,1,0.0,2.0,1.41e-07,1,search,buy x get y
147,/discos-smart-bogo-cart-upsell?st_source=autocomplete,2022-05-06,(direct),Vietnam,desktop,1,1,1,0.0,2.0,4.2900000000000004e-07,0,Others,Others
148,/discos-smart-bogo-cart-upsell?st_source=autocomplete,2022-05-06,lm.facebook.com,India,mobile,1,1,1,100.0,1.0,0.0,0,Others,Others
149,/discos-smart-bogo-cart-upsell?st_source=autocomplete,2022-05-11,getresponse,Vietnam,desktop,1,0,3,33.33333333333333,2.3333333333333335,4.77e-07,0,Others,Others
150,/discos-smart-bogo-cart-upsell?st_source=autocomplete,2022-05-11,landing page,Hungary,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
151,/discos-smart-bogo-cart-upsell?st_source=autocomplete,2022-05-12,admin,Vietnam,desktop,1,0,2,100.0,1.0,0.0,0,Others,Others
152,/discos-smart-bogo-cart-upsell?st_source=autocomplete,2022-05-18,admin,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
153,/discos-smart-bogo-cart-upsell?st_source=autocomplete,2022-05-19,lm.facebook.com,Vietnam,mobile,1,1,1,100.0,1.0,0.0,0,Others,Others
154,/discos-smart-bogo-cart-upsell?st_source=autocomplete,2022-05-25,slack_partner_leauge,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
155,/discos-smart-bogo-cart-upsell?st_source=autocomplete,2022-05-26,website,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
156,/discos-smart-bogo-cart-upsell?st_source=autocomplete,2022-05-27,getresponse,Vietnam,desktop,1,0,1,0.0,2.0,6.000000000000001e-09,0,Others,Others
